Detected configuration: Linux / .Net
[224] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7188ms
[225] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.507ms
[226] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4445ms
[227] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8025ms
[228] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5526ms
[229] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5099ms
[230] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4637ms
[231] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4824ms
[232] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.0959ms
[233] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7111ms
[234] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.814ms
[235] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4304ms
[236] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4417ms
[237] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4332ms
[238] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4409ms
[239] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6662ms
[240] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7457ms
[241] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1142ms
[242] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4452ms
[243] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4246ms
[244] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6121ms
[245] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6815ms
[246] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9831ms
[247] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7164ms
[248] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4365ms
[249] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4379ms
[250] Vertex Count: 4752, Index Count: 6822, Meshing time: 4.1041ms
[251] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.4617ms
[252] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.4698ms
[253] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.5797ms
[254] Vertex Count: 8712, Index Count: 12480, Meshing time: 5.3004ms
[255] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.4396ms
[256] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.6843ms
[257] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.8495ms
[258] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.4573ms
[259] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.477ms
[260] Vertex Count: 8520, Index Count: 12222, Meshing time: 4.3482ms
[261] Vertex Count: 14656, Index Count: 20940, Meshing time: 3.5639ms
[262] Vertex Count: 13668, Index Count: 19512, Meshing time: 4.6356ms
[263] Vertex Count: 12984, Index Count: 18480, Meshing time: 4.2842ms
[264] Vertex Count: 12496, Index Count: 17814, Meshing time: 3.8688ms
[265] Vertex Count: 12288, Index Count: 17628, Meshing time: 4.3471ms
[266] Vertex Count: 5512, Index Count: 7866, Meshing time: 4.1945ms
[267] Vertex Count: 3224, Index Count: 4512, Meshing time: 3.96ms
[268] Vertex Count: 13204, Index Count: 18936, Meshing time: 4.5122ms
[269] Vertex Count: 1368, Index Count: 1800, Meshing time: 3.9777ms
[270] Vertex Count: 9808, Index Count: 14106, Meshing time: 3.8441ms
[271] Vertex Count: 5036, Index Count: 7002, Meshing time: 2.0883ms
[272] Vertex Count: 2076, Index Count: 2718, Meshing time: 1.819ms
[273] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9931ms
[274] Vertex Count: 8060, Index Count: 11520, Meshing time: 3.9212ms
[275] Vertex Count: 8968, Index Count: 12840, Meshing time: 3.285ms
[276] Vertex Count: 0, Index Count: 0, Meshing time: 1.5227ms
[277] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9926ms
[278] Vertex Count: 7668, Index Count: 10794, Meshing time: 2.8073ms
[279] Vertex Count: 0, Index Count: 0, Meshing time: 1.5252ms
[280] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9892ms
[281] Vertex Count: 9540, Index Count: 13680, Meshing time: 3.7099ms
[282] Vertex Count: 0, Index Count: 0, Meshing time: 1.5352ms
[283] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9858ms
[284] Vertex Count: 5520, Index Count: 7704, Meshing time: 2.3969ms
[285] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9935ms
[286] Vertex Count: 6744, Index Count: 9312, Meshing time: 2.5732ms
[287] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0438ms
[288] Vertex Count: 9636, Index Count: 13800, Meshing time: 4.0418ms
[289] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9967ms
[290] Vertex Count: 5448, Index Count: 7710, Meshing time: 2.5006ms
[291] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9947ms
[292] Vertex Count: 1948, Index Count: 2664, Meshing time: 1.8251ms
[293] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9881ms
[294] Vertex Count: 8212, Index Count: 11718, Meshing time: 3.895ms
[295] Vertex Count: 6856, Index Count: 9738, Meshing time: 3.9372ms
[296] Vertex Count: 3192, Index Count: 4422, Meshing time: 2.0165ms
[297] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9981ms
[298] Vertex Count: 11836, Index Count: 17016, Meshing time: 3.4621ms
[299] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.4369ms
[300] Vertex Count: 692, Index Count: 876, Meshing time: 3.6906ms
[301] Vertex Count: 4264, Index Count: 5856, Meshing time: 3.9485ms
[302] Vertex Count: 2952, Index Count: 4080, Meshing time: 3.9239ms
[303] Vertex Count: 5176, Index Count: 7326, Meshing time: 4.2553ms
[304] Vertex Count: 940, Index Count: 1248, Meshing time: 3.7201ms
[305] Vertex Count: 976, Index Count: 1242, Meshing time: 4.2639ms
[306] Vertex Count: 8756, Index Count: 12468, Meshing time: 4.2149ms
[307] Vertex Count: 10932, Index Count: 15408, Meshing time: 2.7442ms
[308] Vertex Count: 11068, Index Count: 15678, Meshing time: 3.2096ms
[309] Vertex Count: 9452, Index Count: 13338, Meshing time: 2.8444ms
[310] Vertex Count: 8960, Index Count: 12462, Meshing time: 2.7332ms
[311] Vertex Count: 13632, Index Count: 19602, Meshing time: 4.3494ms
[312] Vertex Count: 7808, Index Count: 11046, Meshing time: 4.3004ms
[313] Vertex Count: 9216, Index Count: 13122, Meshing time: 4.5561ms
[314] Vertex Count: 12808, Index Count: 18282, Meshing time: 4.165ms
[315] Vertex Count: 9052, Index Count: 12720, Meshing time: 2.7128ms
[316] Vertex Count: 5664, Index Count: 7992, Meshing time: 3.9084ms
[317] Vertex Count: 4088, Index Count: 5700, Meshing time: 2.1681ms
[318] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0094ms
[319] Vertex Count: 7960, Index Count: 11394, Meshing time: 3.7834ms
[320] Vertex Count: 7704, Index Count: 10836, Meshing time: 2.7275ms
[321] Vertex Count: 0, Index Count: 0, Meshing time: 1.5302ms
[322] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.2357ms
[323] Vertex Count: 5292, Index Count: 7302, Meshing time: 2.3755ms
[324] Vertex Count: 0, Index Count: 0, Meshing time: 1.5238ms
[325] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0062ms
[326] Vertex Count: 3276, Index Count: 4542, Meshing time: 3.8948ms
[327] Vertex Count: 9404, Index Count: 13422, Meshing time: 3.7079ms
[328] Vertex Count: 1320, Index Count: 1746, Meshing time: 1.724ms
[329] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0573ms
[330] Vertex Count: 1312, Index Count: 1572, Meshing time: 4.0391ms
[331] Vertex Count: 7220, Index Count: 10290, Meshing time: 2.7061ms
[332] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9924ms
[333] Vertex Count: 7912, Index Count: 11262, Meshing time: 2.8411ms
[334] Vertex Count: 4356, Index Count: 6144, Meshing time: 1.9873ms
[335] Vertex Count: 1016, Index Count: 1248, Meshing time: 3.7105ms
[336] Vertex Count: 8456, Index Count: 12030, Meshing time: 2.9804ms
[337] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0194ms
[338] Vertex Count: 1172, Index Count: 1422, Meshing time: 3.7213ms
[339] Vertex Count: 4404, Index Count: 6024, Meshing time: 3.9953ms
[340] Vertex Count: 5408, Index Count: 7662, Meshing time: 2.4541ms
[341] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0115ms
[342] Vertex Count: 9516, Index Count: 13686, Meshing time: 3.5035ms
[343] Vertex Count: 0, Index Count: 0, Meshing time: 1.5302ms
[344] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.0009ms
[345] Vertex Count: 9044, Index Count: 13008, Meshing time: 3.9304ms
